,Unnamed: 0,Style,Link,Brand,Dress name,Price,Price Category,Color,Fabric,Outer fabric material,Lining,Care instructions,Collar,Cut,Fastening,Type of dress,Neckline,Consolidated Prints,Details,Dress length,Sleeve length,Consolidated sleeve length,Total length,Fit,Consolidated fit,Our model's height,Back width,Sheer?,Pockets?,Rhinestones?,Shoulderpads?,Backless?,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,User
0,1214.0,Unknown,https://www.zalando.co.uk/jarlo-occasion-wear-ivory-j3121c07u-a11.html,Jarlo,Occasion wear,174.99,4.0,white,Unknown,"97% polyester, 3% elastane","98% polyester, 2% elastane","Do not tumble dry, Do not wash",Unknown,Unknown,Zip,Unknown,Strapless,Plain,"Padded bust, slip, wired bustier",Maxi/long,Strapless,Strapless,"52.0 "" (Size 8)",Slim Fit,Slim fit,"Our model is 5' 9""  tall and is wearing size 8","14.0 "" (Size 8)",No,No,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Bieke @habraken.be
1,1064.0,Unknown,https://www.zalando.co.uk/by-malina-amaia-dress-day-dress-jardin-byc21c02u-t11.html,By Malina,AMAIA DRESS ,189.99,4.0,off-white,Unknown,100% viscose,100% viscose,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",Unknown,Unknown,Button,Unknown,Low v-neck,Floral,Slip,Knee length,"21.5 "" (Size 8)",Long,"34.5 "" (Size 8)",Regular Fit,Regular fit,"Our model is 5' 9""  tall and is wearing size 8","13.5 "" (Size 8)",No,No,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Bieke @habraken.be
2,1343.0,Unknown,https://www.zalando.co.uk/faithfull-the-brand-shahni-mini-dress-day-dress-orange-f0o21c01p-a11.html,Faithfull the brand,SHAHNI MINI DRESS ,170.0,4.0,orange,Unknown,100% cotton,Unknown,Hand wash only,Unknown,Unknown,Zip,Unknown,Strapless,Floral,Bow,Extra short,Strapless,Strapless,"30.5 "" (Size S)",Regular Fit,Regular fit,"Our model is 5' 10""  tall and is wearing size S",Unknown,No,No,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Bieke @habraken.be
3,4147.0,Unknown,https://www.zalando.co.uk/jarlo-levi-occasion-wear-ivory-j3121c07x-a11.html,Jarlo,LEVI ,169.99,4.0,white,Satin,100% polyester,"98% polyester, 2% elastane","Do not tumble dry, Do not wash",Unknown,Unknown,Zip,Unknown,strapless,Unknown,Slip,Maxi/long,One shoulder,One shoulder,"60.0 "" (Size 8)",Regular Fit,Regular fit,"Our model is 5' 9""  tall and is wearing size 8","14.5 "" (Size 8)",No,No,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Bieke @habraken.be
4,3026.0,Unknown,https://www.zalando.co.uk/max-mara-leisure-rimmel-day-dress-sabbia-m1x21c028-b11.html,Max Mara Leisure,RIMMEL ,209.99,5.0,stone,Unknown,100% cotton,Unknown,"Machine wash at 30°C, Machine wash on gentle cycle",Turn-down collar,Unknown,Unknown,Button down dresses,Low v-neck,Plain,Unknown,Knee length,"24.5 "" (Size S)",Long,"41.5 "" (Size S)",Regular Fit,Regular fit,"Our model is 5' 10""  tall and is wearing size S","14.0 "" (Size S)",No,No,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Bieke @habraken.be
5,571.0,casual chic,https://www.zalando.co.uk/michael-michael-kors-day-dress-black-mk121c0km-k11.html,MICHAEL Michael Kors,DITSY SLIP MINI ,164.99,4.0,black,Unknown,100% polyester,100% polyester,"Machine wash at 30°C, Machine wash on gentle cycle",Unknown,Unknown,Zip,Unknown,Low v-neck,Floral,"Adjustable straps, slip",Short,Spaghetti straps,Spaghetti straps,"35.5 "" (Size 8)",Regular Fit,Regular fit,Unknown,Unknown,No,No,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Bieke @habraken.be
6,3340.0,Unknown,https://www.zalando.co.uk/guess-cocktail-dress-party-dress-weiss-gu121c118-a11.html,Guess,3 QTR SLV ,159.99,4.0,white ,Unknown,"71% ramie, 29% cotton",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Strapless,Plain,Fringing,Maxi/long,Strapless,Strapless,"43.5 "" (Size S)",Regular Fit,Regular fit,Unknown,Unknown,No,No,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Bieke @habraken.be
7,4158.0,Unknown,https://www.zalando.co.uk/bruuns-bazaar-evanthe-mility-dress-cocktail-dress-party-dress-bright-blue-br321c09q-k11.html,Bruuns Bazaar,EVANTHE MILITY DRESS ,249.99,5.0,electric blue,Lace,100% viscose,100% polyester,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",Standing collar,Unknown,Zip,Unknown,Unknown,Plain,Slip,Short,"25.5 "" (Size 8)",Long,"36.0 "" (Size 8)",Regular Fit,Regular fit,"Our model is 5' 10""  tall and is wearing size 8","13.0 "" (Size 8)",No,No,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Bieke @habraken.be
8,315.0,classic,https://www.zalando.co.uk/gant-day-dress-evening-blue-ga321c06v-k11.html,GANT,Day dress,149.99,4.0,navy,Unknown,100% viscose,Unknown,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",Standing collar,Unknown,Laces,Unknown,Low v-neck,Plain,Unknown,Knee length,"19.5 "" (Size 8)",Long,"36.0 "" (Size 8)",Regular Fit,Regular fit,Unknown,"14.0 "" (Size 8)",No,No,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Bieke @habraken.be
9,2507.0,Unknown,https://www.zalando.co.uk/replay-day-dress-black-re321c04o-q11.html,Replay,Day dress,149.99,4.0,black,Unknown,100% viscose,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Spaghetti straps,Floral,Unknown,Maxi/long,Spaghetti straps,Spaghetti straps,"53.0 "" (Size S)",Slim Fit,Slim fit,"Our model is 5' 10""  tall and is wearing size S","15.5 "" (Size S)",No,No,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Bieke @habraken.be
