,Unnamed: 0,Link,Brand,Dress name ,Price,Price Category,Color,Fabric,Outer fabric material,Lining,Care instructions,Collar,Cut,Fastening,Type of dress,Neckline,Consolidated Prints,Details,Dress length,Sleeve length,Consolidated sleeve length,Total length,Fit,Consolidated fit,Our model's height,Back width,Sheer?,Pockets?,Rhinestones?,Shoulderpads?,Backless?,User
0,1411.0,https://www.zalando.co.uk/calvin-klein-print-maxi-dress-day-dress-blurred-6ca21c05s-t11.html,Calvin Klein,PRINT MAXI DRESS ,199.99,4.0,white multi-coloured,Satin,100% polyester,100% cotton,Machine wash at 30°C,Unknown,Unknown,Button,Accentuating the waist,Round neckline,Floral,"Belt included, bust darts, slip",Calf length,Sleeveless,Sleeveless,"51.5 "" (Size 10)",Regular Fit,Regular fit,Unknown,"12.0 "" (Size 10)",No,No,No,No,No,charlotte_oostendorp@icloud.col
1,2063.0,https://www.zalando.co.uk/notes-du-nord-cheryl-dress-day-dress-blue-n0p21c013-k11.html,Notes du Nord,CHERYL DRESS ,199.99,4.0,blue,Unknown,"60% polyester, 36% polyamide, 4% elastane",Unknown,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",Unknown,Unknown,Unknown,Unknown,Low v-neck,Checked,Unknown,Calf length,Elbow length,Elbow length,"45.5 "" (Size 10)",Regular Fit,Regular fit,Unknown,"14.0 "" (Size 10)",No,No,No,No,No,charlotte_oostendorp@icloud.col
2,2129.0,https://www.zalando.co.uk/wood-wood-molina-crinkled-dress-day-dress-navy-wo421c015-k11.html,Wood Wood,MOLINA CRINKLED DRESS ,209.99,5.0,navy,Unknown,"79% viscose, 20% nylon, 1% elastane",Unknown,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",Unknown,Unknown,Unknown,Accentuating the waist,Round neckline,Plain,"Belt included, bust darts",Calf length,Sleeveless,Sleeveless,"56.5 "" (Size 8)",Regular Fit,Regular fit,"Our model is 5' 10""  tall and is wearing size 8","15.5 "" (Size 8)",Yes,No,No,No,No,charlotte_oostendorp@icloud.col
3,2255.0,https://www.zalando.co.uk/lauren-ralph-lauren-rowella-day-dress-lauren-navy-l4221c1a5-k11.html,Ralph Lauren,SURPLICE GEORGETTE MIDI DRESS ,199.99,4.0,black,Unknown,100% polyester,Unknown,Machine wash at 30°C,Unknown,Unknown,Zip,Wrap dresses,Low v-neck,Plain,Belt included,Calf length,"22.0 "" (Size 8)",Long,"46.0 "" (Size 8)",Regular Fit,Regular fit,"Our model is 5' 10""  tall and is wearing size 8","16.5 "" (Size 8)",No,No,No,No,No,charlotte_oostendorp@icloud.col
4,2368.0,https://www.zalando.co.uk/weekend-maxmara-cipro-day-dress-blu-mw721c09q-k11.html,WEEKEND MaxMara,CIPRO ,204.99,5.0,navy,Unknown,"76% lyocell, 19% polyamide, 5% elastane",Unknown,Dry clean only,Unknown,Unknown,Unknown,Accentuating the waist,Round neckline,Plain,Belt included,Calf length,3/4 length,Elbow length,Unknown,Regular Fit,Regular fit,Unknown,Unknown,No,No,No,No,No,charlotte_oostendorp@icloud.col
5,2535.0,https://www.zalando.co.uk/faithfull-the-brand-velika-midi-dress-day-dress-morello-f0o21c01u-m11.html,Faithfull the brand,VELIKA MIDI DRESS ,190.0,4.0,white multi-coloured,Unknown,100% viscose,100% viscose,Unknown,Unknown,Unknown,Unknown,Unknown,Square neckline,Floral,"Slip, bow",Calf length,Elbow length,Elbow length,"44.0 "" (Size S)",Regular Fit,Regular fit,"Our model is 5' 8""  tall and is wearing size S",Unknown,No,No,No,No,Yes,charlotte_oostendorp@icloud.col
6,2888.0,https://www.zalando.co.uk/lauren-ralph-lauren-danielle-sleeveless-day-dress-cocktail-dress-party-dress-cream-l4221c1cb-a11.html,Ralph Lauren,PAISLEY JACQUARD DRESS ,199.99,4.0,white,Unknown,"53% cotton, 41% viscose, 6% elastane","94% polyester, 6% elastane",Dry clean only,Unknown,Unknown,Zip,Unknown,Round neckline,Unknown,Slip,Calf length,Sleeveless,Sleeveless,"47.0 "" (Size 10)",Regular Fit,Regular fit,Unknown,"13.0 "" (Size 10)",No,No,No,No,No,charlotte_oostendorp@icloud.col
7,3213.0,https://www.zalando.co.uk/stella-nova-barbara-day-dress-dark-colourful-winter-sv521c02s-t11.html,Stella Nova,BARBARA ,209.99,5.0,black multi-coloured,Chiffon,100% polyester,100% polyester,Unknown,Standing collar,Unknown,Laces,Accentuating the waist,Unknown,Floral,"Belt included, slip",Calf length,"23.5 "" (Size 10)",Long,"52.0 "" (Size 10)",Loose Fit,Loose fit,"Our model is 5' 10""  tall and is wearing size 10","15.5 "" (Size 10)",No,No,No,No,No,charlotte_oostendorp@icloud.col
8,390.0,https://www.zalando.co.uk/ivy-and-oak-dress-midi-cocktail-dress-party-dress-black-iv321c08l-q11.html,IVY & OAK,DRESS MIDI ,179.99,4.0,black,Lace,"75% cotton, 25% polyamide",100% viscose,Dry clean only,Unknown,Unknown,Zip,Unknown,Round neckline,Plain,"Button row, bust darts, padded bust, slip",Calf length,Extra short,Short,"49.0 "" (Size 8)",Slim Fit,Slim fit,"Our model is 5' 10""  tall and is wearing size 8","14.0 "" (Size 8)",No,No,No,No,Yes,charlotte_oostendorp@icloud.col
9,471.0,https://www.zalando.co.uk/drykorn-malasi-day-dress-orange-dr221c054-h11.html,DRYKORN,MALASI ,179.99,4.0,red,Jersey,"91% cotton, 9% elastane",Unknown,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",Unknown,Unknown,Unknown,Unknown,Round neckline,Plain,Unknown,Calf length,Short,Short,"51.0 "" (Size S)",Loose Fit,Loose fit,"Our model is 5' 10""  tall and is wearing size S",Unknown,No,No,No,No,No,charlotte_oostendorp@icloud.col
